No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
17;SMP;Landasan konstitusional pelaksanaan musyawarah untuk mencapai mufakat di Indonesia adalah...;Pancasila sila ke-3;Pancasila sila ke-4;Pancasila sila ke-5;UUD 1945 Pasal 33;B
18;SMP;Daerah di dalam kerangka Negara Kesatuan Republik Indonesia diatur dalam UUD 1945 Pasal...;Pasal 17;Pasal 18;Pasal 19;Pasal 20;B
19;SMP;Faktor utama yang paling ampuh untuk memelihara persatuan dan kesatuan bangsa dalam keragaman adalah...;Sikap etnosentrisme yang tinggi;Perasaan senasib dan sepenanggungan;Sikap menolak kebudayaan asing;Menonjolkan kelebihan suku sendiri;B
20;SMP;Sikap toleransi antarumat beragama dapat diwujudkan dengan cara...;Mengikuti tata cara ibadah agama orang lain;Menghormati orang lain yang sedang beribadah;Meyakini kebenaran ajaran semua agama;Melarang perayaan hari besar agama lain;B
21;SMP;Rumusan dasar negara Indonesia merdeka dirancang oleh suatu badan bentukan Jepang yang bernama...;PPKI;BPUPKI;Heiho;Putera;B
22;SMP;Bentuk negara Indonesia berdasarkan Pasal 1 ayat 1 UUD 1945 adalah...;Republik;Kesatuan;Serikat;Monarki;B
23;SMP;Berikut yang merupakan contoh pelaksanaan norma hukum di lingkungan sekolah adalah...;Hormat kepada bapak dan ibu guru;Membayar sumbangan sukarela;Datang ke sekolah tepat waktu sesuai regulasi;Berbicara santun dengan teman;C
24;SMP;Sila ketiga Pancasila, Persatuan Indonesia, memberikan landasan bahwa bangsa Indonesia mengutamakan...;Kebebasan individu di atas segalanya;Kepentingan bersama di atas golongan;Kepentingan daerah asal masing-masing;Keuntungan materi bagi negara;B
25;SMP;Sikap patriotisme di lingkungan sekolah dapat diwujudkan dalam bentuk...;Mengikuti upacara bendera dengan khidmat;Membantu teman saat ulangan umum;Menjaga kebersihan rumah masing-masing;Bekerja keras mencari nafkah keluarga;A
26;SMP;Pancasila sebagai pandangan hidup bangsa mengandung arti bahwa Pancasila digunakan sebagai...;Alat pemaksa kehendak pemerintah;Petunjuk arah dalam kehidupan sehari-hari;Sumber hukum yang dapat diubah kapan saja;Simbol kemegahan negara di mata dunia;B
27;SMP;Fungsi Pancasila sebagai sumber dari segala sumber hukum di Indonesia berarti...;Semua peraturan hukum tidak boleh bertentangan dengan Pancasila;Pancasila merupakan satu-satunya hukum tertulis;Hukum adat tidak berlaku lagi setelah ada Pancasila;Pancasila dapat menggantikan fungsi undang-undang;A
28;SMP;Kedudukan Pembukaan UUD NRI Tahun 1945 bagi bangsa Indonesia bersifat tetap dan tidak dapat diubah karena...;Memuat dasar negara dan cita-cita proklamasi;Dibuat oleh para pemimpin paling populer;Merupakan hukum adat tertulis paling tua;Disetujui oleh seluruh negara tetangga;A
29;SMP;Pokok pikiran pertama Pembukaan UUD NRI Tahun 1945 menyatakan bahwa negara melindungi segenap bangsa. Hal ini merupakan penjabaran sila ke...;Satu;Dua;Tiga;Empat;C
30;SMP;Lembaga tinggi negara yang berwenang mengubah dan menetapkan UUD sesuai Pasal 3 ayat 1 UUD 1945 adalah...;Presiden;DPR;MPR;MA;C
31;SMP;Tata urutan peraturan perundang-undangan di Indonesia diatur dalam UU Nomor...;UU Nomor 10 Tahun 2004;UU Nomor 12 Tahun 2011;UU Nomor 17 Tahun 2014;UU Nomor 23 Tahun 2014;B
32;SMP;Peraturan perundang-undangan tertulis yang posisinya tepat berada di bawah UUD 1945 dalam hierarki hukum adalah...;Ketetapan MPR;Undang-Undang;Peraturan Pemerintah;Peraturan Presiden;A
33;SMP;Kebangkitan Nasional Indonesia ditandai dengan berdirinya organisasi modern pertama yaitu...;Sarekat Islam;Indische Partij;Budi Utomo;Muhammadiyah;C
34;SMP;Organisasi Budi Utomo didirikan pada tanggal 20 Mei 1908 oleh para mahasiswa STOVIA di bawah pimpinan...;Dr. Sutomo;Dr. Wahidin Sudirohusodo;Ir. Soekarno;H.O.S. Cokroaminoto;A
35;SMP;Hari Kebangkitan Nasional diperingati setiap tanggal...;2 May;20 May;1 June;28 October;B
36;SMP;Kongres Pemuda II yang menghasilkan Sumpah Pemuda dilaksanakan pada tanggal...;25-26 Oktober 1928;27-28 Oktober 1928;29-30 Oktober 1928;1-2 November 1928;B
37;SMP;Isi ketiga dari Sumpah Pemuda yang diikrarkan para pemuda tahun 1928 adalah menjunjung bahasa persatuan, yaitu...;Bahasa Melayu;Bahasa Indonesia;Bahasa Jawa;Bahasa Sansekerta;B
38;SMP;Lagu kebangsaan Indonesia Raya pertama kali diperdengarkan secara resmi pada peristiwa...;Proklamasi Kemerdekaan;Sidang BPUPKI;Peristiwa Sumpah Pemuda;Peresmian PPKI;C
39;SMP;Nilai utama yang paling menonjol dari peristiwa Sumpah Pemuda adalah...;Semangat kedaerahan;Semangat persatuan dan kesatuan;Keinginan menguasai ekonomi;Persaingan antarorganisasi;B
40;SMP;Bentuk nyata komitmen mempertahankan NKRI bagi seorang pelajar dalam kehidupan sehari-hari adalah...;Mengikuti unjuk rasa di jalanan;Belajar tekun dan menjauhi tawuran;Bekerja paruh waktu mencari uang;Membuat organisasi politik baru;B
41;SMP;Sikap cinta tanah air yang berlebihan dan memandang rendah bangsa lain dinamakan...;Nasionalisme;Chauvinisme;Patriotisme;Skeptis;B
42;SMP;Pancasila memiliki kedudukan sebagai Dasar Negara, artinya Pancasila berfungsi sebagai...;Alat pemersatu suku bangsa saja;Landasan yuridis penyelenggaraan pemerintahan negara;Peraturan tertulis untuk para PNS;Buku panduan sejarah bangsa;B
43;SMP;Pembagian kekuasaan negara di Indonesia yang bertugas mengadili pelanggaran hukum disebut kekuasaan...;Eksekutif;Legislatif;Yudikatif;Eksaminatif;C
44;SMP;Sumpah Pemuda menegaskan tiga hal penting bagi integrasi bangsa, yaitu...;Satu nusa, satu bangsa, satu bahasa;Satu suku, satu budaya, satu bahasa;Satu negara, satu raja, satu bendera;Satu visi, satu misi, satu tujuan;A
45;SMP;Contoh perilaku yang mencerminkan sila kedua Pancasila di masyarakat adalah...;Menghargai hasil karya orang lain;Membantu korban bencana tanpa membedakan asal-usul;Mengutamakan musyawarah RT;Beribadah tepat waktu sesuai jadwal;B
46;SMP;Ketua organisasi pemuda yang memimpin jalannya Kongres Pemuda II adalah...;Sugondo Djojopuspito;Soehario;Muhammad Yamin;W.R. Supratman;A
47;SMP;Undang-Undang dibuat oleh Dewan Perwakilan Rakyat (DPR) dengan persetujuan bersama dari...;Mahkamah Konstitusi;Presiden;Mahkamah Agung;Badan Pemeriksa Keuangan;B
48;SMP;Penyebab utama runtuhnya perjuangan kedaerahan bangsa Indonesia sebelum tahun 1908 adalah...;Kekurangan pasokan makanan;Perjuangan bersifat lokal dan mudah diadu domba;Sikap menyerah para raja;Senjata musuh terlalu canggih;B
49;SMP;Hak mendasar yang dimiliki setiap manusia sejak lahir sebagai anugerah Tuhan Yang Maha Esa disebut...;Hak warga negara;Hak asasi manusia;Hak politik;Hak hukum;B
50;SMP;Pemberian otonomi daerah di Indonesia bertujuan untuk meningkatkan...;Kekuasaan pejabat pusat;Kesejahteraan masyarakat di daerah;Pendapatan golongan kaya;Ketergantungan daerah pada pusat;B
