No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
21;SMP;Bagian penutup dalam cerita fantasi yang berisi penyelesaian masalah disebut...;Komplikasi;Orientasi;Resolusi;Koda;C
22;SMP;Penggunaan tanda baca koma yang tepat terdapat pada kalimat...;Ani, Budi dan Cici pergi ke sekolah.;Ani Budi, dan Cici pergi ke sekolah.;Ani, Budi, dan Cici pergi ke sekolah.;Ani Budi dan Cici, pergi ke sekolah.;C
23;SMP;Kata tanya yang digunakan untuk menanyakan alasan atau sebab adalah...;Apa;Mengapa;Bagaimana;Di mana;B
24;SMP;Gagasan utama dari sebuah paragraf disebut juga dengan...;Kalimat penjelas;Ide pokok;Kesimpulan;Ringkasan;B
25;SMP;Cerita rakyat yang mengisahkan asal-usul suatu tempat disebut...;Fabel;Mite;Legenda;Sage;C
26;SMP;Teks yang bertujuan untuk melaporkan suatu kejadian, peristiwa, atau informasi mengenai sesuatu yang baru saja terjadi disebut...;Teks Berita;Teks Iklan;Teks Eksposisi;Teks Puisi;A
27;SMP;Unsur-unsur berita yang dikenal dengan istilah 5W+1H, dalam bahasa Indonesia sering disingkat...;ADIKSIMBA;ADIKASIH;ABADIKAN;ASALASAL;A
28;SMP;Sifat teks berita harus aktual. Arti kata aktual adalah...;Sesuai keinginan penulis;Bersifat khayalan;Hangat dibicarakan atau baru terjadi;Panjang dan lebar;C
29;SMP;Media promosi yang memadukan unsur gambar dengan kata-kata, gerak, dan suara serta ditemukan di media elektronik disebut...;Iklan;Slogan;Poster;Pengumuman;A
30;SMP;Plakat yang dipasang di tempat-tempat umum berupa pengumuman atau iklan dengan gambar yang mencolok disebut...;Slogan;Iklan;Spanduk;Poster;D
31;SMP;Perkataan atau kalimat pendek yang menarik atau mencolok dan mudah diingat untuk memberitahukan sesuatu disebut...;Puisi;Slogan;Berita;Cerpen;B
32;SMP;Teks yang memaparkan sejumlah pendapat disertai fakta yang bertujuan untuk meyakinkan pembaca disebut teks...;Narasi;Deskripsi;Eksposisi;Prosedur;C
33;SMP;Struktur teks eksposisi yang berisi pengenalan isu atau pandangan awal penulis disebut...;Tesis;Argumentasi;Penegasan ulang;Kesimpulan;A
34;SMP;Bagian teks eksposisi yang berisi alasan, fakta, atau bukti untuk mendukung tesis disebut...;Tesis;Argumentasi;Penegasan ulang;Judul;B
35;SMP;Karya sastra yang mengungkapkan pikiran dan perasaan penyair secara imajinatif dan terikat oleh irama, rima, serta bait disebut...;Prosa;Puisi;Drama;Novel;B
36;SMP;Persamaan bunyi akhir pada baris-baris puisi disebut...;Ritme;Rima;Bait;Majas;B
37;SMP;Gaya bahasa yang membandingkan benda mati seolah-olah hidup dan berperilaku seperti manusia disebut majas...;Metafora;Hiperbola;Personifikasi;Simile;C
38;SMP;Teks yang berisi penjelasan tentang proses terjadinya suatu fenomena alam atau sosial disebut teks...;Eksplanasi;Ulasan;Persuasi;Berita;A
39;SMP;Struktur teks eksplanasi secara urut adalah...;Tesis - Argumentasi - Reorientasi;Pernyataan umum - Deretan penjelas - Interpretasi;Orientasi - Komplikasi - Resolusi;Identifikasi - Deskripsi bagian - Simpulan;B
40;SMP;Konjungsi (kata hubung) yang menyatakan hubungan sebab-akibat contohnya adalah...;Dan, atau;Karena, sehingga;Tetapi, melainkan;Lalu, kemudian;B
41;SMP;Teks yang berisi penilaian, review, atau pertimbangan terhadap suatu karya (film, buku, novel) disebut teks...;Persuasi;Ulasan;Eksplanasi;Deskripsi;B
42;SMP;Struktur teks ulasan yang berisi gambaran umum mengenai karya yang akan diulas disebut...;Orientasi;Tafsiran;Evaluasi;Rangkuman;A
43;SMP;Bagian teks ulasan yang berisi pandangan penulis mengenai kelebihan dan kekurangan karya disebut...;Orientasi;Tafsiran;Evaluasi;Rangkuman;C
44;SMP;Teks yang bertujuan untuk membujuk, mengajak, atau memengaruhi pembaca agar melakukan sesuatu disebut teks...;Eksposisi;Eksplanasi;Persuasi;Ulasan;C
45;SMP;Kata-kata berikut yang sering muncul dalam teks persuasi sebagai bentuk ajakan adalah...;Adalah, merupakan;Ayo, mari, lakukanlah;Mengapa, bagaimana;Kemarin, besok;B
46;SMP;Karya sastra yang berbentuk cerita pendek dan biasanya selesai dibaca dalam sekali duduk disebut...;Novel;Cerpen;Roman;Dongeng;B
47;SMP;Unsur intrinsik cerpen yang menjadi tempat, waktu, dan suasana terjadinya cerita disebut...;Alur;Tema;Latar (setting);Penokohan;C
48;SMP;Pesan moral yang ingin disampaikan pengarang kepada pembaca dalam sebuah cerita disebut...;Amanat;Tema;Sudut pandang;Gaya bahasa;A
49;SMP;Unsur pembangun puisi yang berupa baris-baris yang berkumpul membentuk satu kesatuan disebut...;Larik;Bait;Rima;Ritme;B
50;SMP;Memo, nota, dan surat dinas termasuk ke dalam kategori surat...;Pribadi;Resmi/Dinas;Niaga;Keluarga;B
