No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
38;SMP;"Perhatikan kelompok bilangan berikut: i. 3,4,5 , ii. 5,12,13 , iii. 7,8,9. Yang merupakan tripel Pythagoras adalah..."; i saja;i dan ii;ii dan iii;Semua benar;B
39;SMP;Sebuah tangga panjangnya 5 m disandarkan ke dinding. Jika jarak kaki tangga ke dinding 3 m, tinggi dinding adalah...;2 m;3,5 m;4 m;4,5 m;C
40;SMP;Daerah di dalam lingkaran yang dibatasi oleh sebuah busur dan tali busur disebut...;Tembereng;Juring;Apotema;Busur;A
41;SMP;Jika sudut pusat lingkaran adalah 90 derajat dan jari-jarinya 7 cm, maka luas juringnya adalah...;38,5 cm2;77 cm2;154 cm2;11,5 cm2;A
42;SMP;Diketahui dua lingkaran dengan jari-jari 7 cm dan 2 cm. Jarak pusat kedua lingkaran 13 cm. Panjang garis singgung persekutuan luar adalah...;10 cm;11 cm;12 cm;15 cm;C
43;SMP;Banyaknya titik sudut pada prisma segitiga adalah...;5;6;8;9;B
44;SMP;Banyaknya diagonal ruang pada kubus adalah...;4;6;8;12;A
45;SMP;Luas permukaan kubus yang memiliki panjang rusuk 5 cm adalah...;125 cm2;150 cm2;100 cm2;250 cm2;B
46;SMP;Sebuah balok berukuran 10 cm x 6 cm x 4 cm. Volume balok tersebut adalah...;200 cm3;240 cm3;280 cm3;300 cm3;B
47;SMP;Median dari data: 5, 6, 7, 7, 8, 9, 10 adalah...;6;7;7,5;8;B
48;SMP;Modus dari data: 4, 5, 5, 6, 7, 5, 8, 6, 6, 6 adalah...;4;5;6;7;C
49;SMP;Sebuah dadu dilambungkan sekali. Peluang munculnya mata dadu ganjil adalah...;1/6;1/3;1/2;2/3;C
50;SMP;Dalam sebuah kantong terdapat 3 kelereng merah dan 5 kelereng biru. Peluang terambil kelereng merah adalah...;3/5;5/8;3/8;1/2;C
