# No.;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
37;SD;Penulisan kata ulang yang bermakna saling terdapat pada...;Sayur-mayur;Saling bermaaf-maafan;Laba-laba;Berjalan-jalan;B
38;SD;Kalimat yang paling tepat untuk penutup surat pribadi adalah...;Demikian surat ini saya sampaikan, atas perhatiannya terima kasih.;Sampai jumpa lagi, balas suratku, ya!;Hormat kami.;Akhir kata, sekian dan terima kasih.;B
39;SD;Imbuhan 'ke-an' pada kata 'kecantikan' menunjukkan makna...;Tempat;Sifat/keadaan;Alat;Proses;B
40;SD;Sinonim dari kata 'mengenal' adalah...;Melupakan;Mencintai;Mengetahui;Membenci;C
41;SD;Kata 'tetapi' dan 'namun' digunakan sebagai konjungsi...;Penambahan;Sebab-akibat;Urutan waktu;Perlawanan;D
42;SD;Kalimat yang menyatakan pendapat (opini) adalah...;Jakarta adalah ibu kota Indonesia.;Gunung Everest adalah gunung tertinggi.;Menurut saya, lukisan itu sangat indah.;2+2=4.;C
43;SD;Kalimat yang menyatakan fakta adalah...;Pohon di sana pasti berbuah manis.;Bulan mengelilingi Bumi.;Dia adalah siswa terpandai di kelas.;Membaca buku lebih baik dari bermain.;B
44;SD;Penulisan singkatan yang benar adalah...;Yth. Bpk. Joni;Yth. Bapak Joni;Yth Bpk. Joni;Yth. Bpk Joni;B
45;SD;Kata 'ter-mahal' merupakan contoh kata berimbuhan yang bermakna...;Paling;Tidak sengaja;Sudah terjadi;Tempat;A
46;SD;Laporan pengamatan harus ditulis berdasarkan...;Cerita teman;Dugaan;Fakta/Data;Opini pribadi;C
47;SD;Penggunaan tanda seru (!) yang benar adalah...;Wow! Indahnya!;Tolong ambilkan buku itu!;Saya sudah makan!;Semua benar!;B
48;SD;Kata ganti yang digunakan untuk menggantikan orang yang diajak berbicara adalah...;Saya;Dia;Kamu/Anda;Mereka;C
49;SD;Kalimat yang mengandung majas perbandingan (simile) adalah...;Hati Rina sekeras batu.;Senyumnya manis seperti gula.;Dia adalah bintang kelas.;Angin berbisik padaku.;B
50;SD;Tujuan utama dari teks persuasi adalah...;Mendeskripsikan sesuatu;Menceritakan kejadian;Menjelaskan proses;Mengajak/mempengaruhi;D
