No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
36;SMA;Persamaan lingkaran yang berpusat di (0,0) dengan jari-jari 5 adalah...;x^2 + y^2 = 5;x^2 + y^2 = 25;x + y = 25;x^2 - y^2 = 25;B
37;SMA;Pusat dari lingkaran dengan persamaan (x - 2)^2 + (y + 3)^2 = 16 adalah...;(2, 3);(-2, 3);(2, -3);(-2, -3);C
38;SMA;Suku banyak f(x) = x^3 - 2x^2 + 3x - 4 dibagi oleh (x - 1). Sisa pembagiannya adalah...;-2;-4;2;0;A
39;SMA;Salah satu faktor dari suku banyak x^2 - 5x + 6 adalah...;x - 1;x - 2;x + 2;x + 3;B
40;SMA;Nilai dari sin 150 derajat adalah...;1/2;-1/2;(1/2) akar 3;-(1/2) akar 3;A
41;SMA;Banyaknya titik stasioner dari fungsi f(x) = x^2 - 6x adalah...;1;2;3;0;A
42;SMA;Matriks Transpose dari A = [[1, 2], [3, 4]] adalah...;[[1, 3], [2, 4]];[[4, 2], [3, 1]];[[2, 1], [4, 3]];[[3, 4], [1, 2]];A
43;SMA;Jika f(x) = x + 2, maka fungsi invers f^-1(x) adalah...;x - 2;2 - x;1 / (x + 2);2x;A
44;SMA;Limit x mendekati tak hingga dari (2x + 3) / (x - 1) adalah...;1;2;3;Tak terhingga;B
45;SMA;Gradien garis singgung kurva y = x^2 di titik (2, 4) adalah...;2;4;6;8;B
46;SMA;Jarak antara titik pusat (0,0) ke titik (3,4) pada bidang Kartesius adalah...;5;7;12;25;A
47;SMA;Rumus cos (A + B) sama dengan...;cos A cos B - sin A sin B;cos A cos B + sin A sin B;sin A cos B + cos A sin B;sin A cos B - cos A sin B;A
48;SMA;Jika matriks C = [[2, 0], [0, 2]], maka matriks C dinamakan matriks...;Skalar;Identitas;Nol;Baris;A
49;SMA;Modus dari tabel distribusi frekuensi berada pada kelas yang memiliki...;Frekuensi terbesar;Frekuensi terkecil;Nilai tengah tertinggi;Kumulatif terbesar;A
50;SMA;Turunan pertama dari fungsi f(x) = sin x adalah...;cos x;-cos x;sin x;-sin x;A
