# No.;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
30;SD;Skala pada denah adalah 1:200. Jika panjang kebun sebenarnya 10 meter, panjang kebun pada denah adalah...;20 cm;5 cm;10 cm;50 cm;B
31;SD;Volume kubus dengan panjang rusuk 5 cm adalah...;25 cm3;100 cm3;125 cm3;150 cm3;C
32;SD;Sebuah balok memiliki panjang 10 cm, lebar 5 cm, dan tinggi 3 cm. Volumenya adalah...;18 cm3;15 cm3;120 cm3;150 cm3;D
33;SD;Jika sebuah bak mandi berbentuk kubus memiliki volume 64.000 cm3, panjang rusuknya adalah...;8 cm;40 cm;64 cm;80 cm;B
34;SD;Satuan yang digunakan untuk menyatakan volume adalah...;m2;cm;km/jam;m3;D
35;SD;Luas permukaan balok dengan panjang 8 cm, lebar 4 cm, dan tinggi 2 cm adalah...;64 cm2;88 cm2;96 cm2;112 cm2;D
36;SD;Sebuah kubus memiliki luas permukaan 600 cm2. Panjang rusuknya adalah...;8 cm;10 cm;12 cm;100 cm;B
37;SD;Diketahui volume balok 300 cm3. Jika panjang 10 cm dan lebar 6 cm, tingginya adalah...;3 cm;4 cm;5 cm;10 cm;C
38;SD;Sebuah kardus berbentuk kubus dapat memuat 125 kotak kecil berbentuk kubus dengan rusuk 1 cm. Volume kardus tersebut adalah...;25 cm3;125 cm3;625 cm3;125.000 cm3;B
39;SD;Jaring-jaring bangun ruang yang terdiri dari 6 persegi yang sama besar adalah jaring-jaring...;Balok;Prisma;Limas;Kubus;D
40;SD;Rumus untuk mencari volume kubus adalah...;p×l×t;4×s;s×s;s×s×s;D
41;SD;Data nilai ulangan matematika: 7,8,6,9,7,8,9,7,6,8. Modus dari data tersebut adalah...;6;7 dan 8;8;9;B
42;SD;Berdasarkan data di atas 7,8,6,9,7,8,9,7,6,8, rata-rata (mean) nilai ulangan adalah...;7,5;7,6;7,7;7,8;A
43;SD;Median (nilai tengah) dari data 5,6,7,8,9 adalah...;5;6;7;8;C
44;SD;Data berat badan siswa (kg): 30,32,28,30,31. Rata-rata berat badan adalah...;28 kg;30 kg;30,2 kg;31 kg;C
45;SD;Urutkan data 12,10,15,11,13,10 dari yang terkecil, lalu tentukan mediannya...;11;11,5;12;12,5;B
46;SD;Dalam sebuah diagram lingkaran, jika bagian siswa yang suka membaca 45% dan menulis 35%, persentase siswa yang suka menggambar adalah...;80%;30%;20%;15%;C
47;SD;Jika rata-rata nilai 5 siswa adalah 75. Jika nilai satu siswa baru yang nilainya 80 ditambahkan, rata-rata nilai baru adalah...;75;76;77;78;B
48;SD;Dari data warna favorit: Merah (10), Biru (15), Hijau (5), Kuning (10). Warna favorit yang menjadi modus adalah...;Merah;Hijau;Kuning;Biru;D
49;SD;Selisih antara nilai tertinggi dan nilai terendah dari data 15,12,18,10,20 adalah...;8;5;15;10;D
50;SD;Data usia anak-anak (tahun): 6,7,5,8,6,7. Median dari data tersebut adalah...;6;6,5;7;7,5;B
